position,n_benign,n_malware,D,p_raw,p_holm,reject_holm_05
0,29467,19737,0.4847,0.000e+00,0.000e+00,YES
1,29467,19720,0.2618,0.000e+00,0.000e+00,YES
2,29381,19203,0.3913,0.000e+00,0.000e+00,YES
3,26354,13474,0.4123,0.000e+00,0.000e+00,YES
4,26322,9758,0.4407,0.000e+00,0.000e+00,YES
5,24696,6754,0.3190,0.000e+00,0.000e+00,YES
6,6498,5203,0.4428,5.336e-322,5.336e-321,YES
7,1993,3122,0.3498,1.303e-132,1.173e-131,YES
8,1120,1775,0.3480,2.532e-74,2.026e-73,YES
9,769,742,0.3997,1.866e-54,1.307e-53,YES
10,452,587,0.3133,1.120e-22,4.481e-22,YES
11,329,263,0.4221,7.094e-24,3.547e-23,YES
12,198,229,0.5968,9.946e-36,5.967e-35,YES
13,194,191,0.4389,3.318e-17,6.636e-17,YES
14,190,179,0.4541,1.086e-17,3.257e-17,YES
15,187,165,0.4545,7.159e-17,7.159e-17,YES
